,week,product_analytic_sub_category,gmv,sla,product_mrp,product_procurement_sla,sla_diff,discount_percentage,gmv_per_unit,order_payment_type_Prepaid,special_sales,NPS,Stock Index,Total Investment,TV,Digital,Sponsorship,Content Marketing,Online marketing,Affiliates,SEM,Radio,Other,pay_day,TV_adstock,Digital_adstock,Sponsorship_adstock,content_marketing_adstock,online_marketing_adstock,affiliates_adstock,SEM_adstock,Radio_adstock,Other_adstock,Mean Temp (°C),Heat Deg Days (°C),Total Rain (mm),Total Snow (cm),Snow on Grnd (cm)
0,1,CameraAccessory,4067.0,4.0,1047.7,2.0,2.0,52.46525212690091,406.7,10.0,0,54.59958809237621,1177.0,17.061775442667845,0.0157979121895126,0.18583704192238235,0.5439551908923396,6.844294528738964e-05,0.09737702612766432,0.040149817582814544,0.3685685038340599,0.0,0.0,0,0.0157979121895126,0.18583704192238235,0.5439551908923396,6.844294528738964e-05,0.09737702612766432,0.040149817582814544,0.3685685038340599,0.0,0.0,19.36,0.1,0.0,0.0,0.0
3,2,CameraAccessory,1003905.0,6.857974388824214,1128.6135040745053,2.041909196740396,4.816065192083818,46.49903322560011,571.6152502910361,515.0,0,54.59958809237412,1177.0,17.061775442667617,0.015797912189512448,0.1858370419223775,0.5439551908923461,6.844294528739119e-05,0.09737702612766537,0.04014981758281512,0.3685685038340562,0.0,0.0,0,0.028436241941122528,0.2787555628835687,0.815932786338516,0.00010266441793108601,0.15580324180426397,0.04416479934109657,0.4422822046008682,0.0,0.0,20.099999999999998,0.2833333333333333,4.416666666666667,0.0,0.0
6,3,CameraAccessory,1097503.0,6.54253112033195,1186.3853734439833,2.0446058091286305,4.4979253112033195,47.7610847862584,557.9953319502075,593.0,1,54.599588092373985,1177.0,17.061775442667624,0.015797912189512445,0.18583704192237502,0.5439551908923462,6.844294528739054e-05,0.09737702612766631,0.04014981758281513,0.36856850383405143,0.0,0.0,1,0.03854690574241047,0.32521482336415936,0.9519215840616042,0.00011977515425293354,0.1908589712102247,0.044566297516924785,0.45702494475422506,0.0,0.0,23.183333333333334,0.0,1.4000000000000001,0.0,0.0
9,4,CameraAccessory,1092921.0,6.563758389261745,1150.0418172431596,2.0686628807434175,4.495095508518327,45.39902650074175,553.1202891068663,551.0,0,54.59958809237398,1177.0,17.061775442667642,0.015797912189512445,0.1858370419223749,0.5439551908923462,6.844294528739048e-05,0.09737702612766636,0.04014981758281513,0.36856850383405126,0.0,0.0,0,0.04663543678344083,0.3484444536044546,1.0199159829231483,0.00012833052241385725,0.21189240885380117,0.0446064473345076,0.4599734927848963,0.0,0.0,23.06,0.0,0.9,0.0,0.0
12,5,CameraAccessory,747530.0,6.480339244410177,1144.9653045489592,2.1017733230532,4.378565921356977,45.26323313220467,564.6823438704703,349.0,0,54.59958809237453,1177.0,17.06177544266763,0.01579791218951245,0.1858370419223831,0.5439551908923457,6.844294528739095e-05,0.09737702612766273,0.040149817582815085,0.3685685038340663,0.0,0.0,0,0.05310626161626512,0.36005926872461036,1.0539131823539198,0.00013260820649431957,0.2245124714399434,0.04461046231626584,0.4605632023910456,0.0,0.0,24.566666666666663,0.0,4.633333333333334,0.0,0.0
15,6,CameraAccessory,699.0,5.0,1450.0,4.0,1.0,51.79310344827586,699.0,0.0,0,59.987101024,1206.0,5.064306089216936,0.0004723355684191108,0.09376713280930123,0.07801238021094112,4.6404940970183234e-07,0.009482132540484018,0.005405897682083955,0.1844074540861366,0.0,0.0,0,0.042957344861431206,0.2737967671716064,0.6049689713879011,6.676815265686162e-05,0.14418961540445005,0.00986694391371054,0.27652009456434573,0.0,0.0,21.65,0.0,0.27999999999999997,0.0,0.0
21,10,CameraAccessory,557495.0,6.313965341488277,1145.407747196738,2.0652395514780837,4.248725790010194,45.911987826689035,561.3455657492354,245.0,0,46.991991991732604,1101.5351681957186,95.78959865276727,0.2831753248019685,0.09949364474815418,4.583396926408365,0.04454647178996717,1.1956573581057661,0.3677809265751339,0.45364746116460425,0.0,0.0,1,0.31754120069111347,0.2363920283339574,4.885881412102315,0.044579855866295606,1.2821711273484362,0.36876762096650495,0.5089514800774734,0.0,0.0,24.46,0.0,10.1,0.0,0.0
24,11,CameraAccessory,447470.0,6.204896907216495,1232.0257731958764,2.079896907216495,4.125,48.87845374463599,566.7087628865979,220.0,0,46.92541868726402,1101.0,96.25437986467198,0.2846235983123853,0.09952298138718614,4.6064777898622795,0.044774678796834944,1.2017340754498511,0.3696373560264301,0.4550267644795554,0.0,0.0,0,0.5386565588652761,0.21771899555416485,7.049418495913438,0.06706460672998274,1.9710367518589127,0.4065141181230806,0.5568170604950501,0.0,0.0,19.240000000000002,1.28,0.96,0.0,0.0
27,12,CameraAccessory,1096477.0,6.6372703412073495,1163.4918635170604,2.1028871391076116,4.534383202099738,46.01050208713007,564.2146981627296,465.0,0,46.92541868726208,1101.0,96.25437986466825,0.2846235983123934,0.09952298138718808,4.606477789862116,0.04477467879683626,1.2017340754498738,0.3696373560264149,0.4550267644795787,0.0,0.0,1,0.7155488454046144,0.2083824791642705,8.131187037818835,0.07830698216182763,2.3843561265652213,0.410288767838723,0.5663901765785887,0.0,0.0,20.55,0.0,0.55,0.0,0.0
30,13,CameraAccessory,1061658.0,6.636616583194213,1200.0740122426266,2.126321647189761,4.510294936004452,46.069403799978495,580.646633277685,430.0,0,46.9254186872624,1101.0,96.2543798646684,0.284623598312396,0.09952298138718761,4.606477789862077,0.04477467879683596,1.2017340754498615,0.36963735602641734,0.4550267644795767,0.0,0.0,0,0.8570626746360874,0.20371422096932285,8.672071308771494,0.08392816987774977,2.6323477513889944,0.41066623281028963,0.5683047997952945,0.0,0.0,20.0,0.0,0.0,0.0,0.0
33,14,CameraAccessory,1564973.0,5.455012077294686,1474.5573671497584,2.0033212560386473,3.4516908212560384,61.957986539125166,466.96286231884056,547.0,0,45.85570379774781,1147.1407004830917,127.53773987075435,0.35497300126122866,0.44940395978308373,5.286145445698548,0.13278203406215083,1.4499309853315756,0.42974548913071386,1.253950802870025,0.0,0.0,1,1.0406231409700988,0.5512610702677452,9.622181100084294,0.1747461190010257,3.0293396361649725,0.4708121124117428,1.367611762829084,0.0,0.0,17.725,1.925,3.72,0.0,0.0
36,15,CameraAccessory,1192208.0,6.241575700047461,1275.9245372567632,2.082107261509255,4.159468438538206,49.35161140728173,559.6373991457048,445.0,0,44.398388933997424,1210.0,170.15629736834265,0.45081277275357357,0.9260606421912002,6.212083550297278,0.25267793174884906,1.7880594431590013,0.5116331740303155,2.3423565898355982,0.0,0.0,0,1.2833112855296527,1.2016911773250727,11.023174100339425,0.3400509912493619,3.6056632248579845,0.5587143852714898,2.615878942401415,0.0,0.0,16.619999999999997,1.3800000000000001,0.0,0.0,0.0
39,16,CameraAccessory,2922538.251831481,6.417411453161205,1152.4119496855346,2.186031115524661,4.231380337636544,54.48512850307305,476.5471285550524,1424.0,1,44.39838893399945,1210.0,170.1562973683453,0.4508127727535773,0.9260606421912391,6.212083550296891,0.25267793174884906,1.7880594431590005,0.5116331740303782,2.3423565898356107,0.0,0.0,1,1.4774618011772995,1.5269062308537755,11.723670600466605,0.42270342737353,3.9514573780737914,0.5675046125575272,2.8655323783158937,0.0,0.0,14.3,4.1,0.3,0.0,0.0
42,17,CameraAccessory,1254770.110548649,6.923427529626253,1196.3577939835916,2.138559708295351,4.784867821330902,47.62770286964091,558.995036713149,430.0,0,44.39838893399759,1210.0,170.15629736834282,0.4508127727535738,0.9260606421912027,6.212083550297282,0.25267793174884906,1.7880594431590013,0.5116331740303147,2.342356589835599,0.0,0.0,0,1.6327822136954135,1.6895137576180903,12.073918850530585,0.4640296454356141,4.158933870003276,0.5683836352860674,2.915463065498778,0.0,0.0,15.680000000000001,2.32,0.8400000000000001,0.0,0.0
45,18,CameraAccessory,1532157.0004443466,6.808103130755065,1180.032044198895,2.0320441988950275,4.776058931860037,48.20810616339166,553.1664825591587,540.0,0,44.70694096466188,1212.7278084714549,156.0499604333176,0.4340708932183806,0.8273276613926394,5.598643031129305,0.22417755258732966,1.7462047443210291,0.5083445905501943,2.109990348090305,0.0,0.0,1,1.7402966641747115,1.6720845402016846,11.635602456394597,0.4561923753051367,4.241565066322995,0.565182954078801,2.6930829611900604,0.0,0.0,10.9,7.1,0.9,0.0,0.0
