,week,product_analytic_sub_category,gmv,sla,product_mrp,product_procurement_sla,sla_diff,discount_percentage,gmv_per_unit,order_payment_type_Prepaid,special_sales,NPS,Stock Index,Total Investment,TV,Digital,Sponsorship,Content Marketing,Online marketing,Affiliates,SEM,Radio,Other,pay_day,TV_adstock,Digital_adstock,Sponsorship_adstock,content_marketing_adstock,online_marketing_adstock,affiliates_adstock,SEM_adstock,Radio_adstock,Other_adstock,Mean Temp (°C),Heat Deg Days (°C),Total Rain (mm),Total Snow (cm),Snow on Grnd (cm)
2,1,HomeAudio,12581.0,6.125,2769.375,2.25,3.875,43.491648912164365,1572.625,8.0,0,54.599588092376216,1177.0,17.06177544266784,0.014482293592173862,0.17036090396854503,0.49865568823198314,6.274315340371886e-05,0.08926766173885975,0.0368062209063642,0.3378748544314952,0.0,0.0,1,0.014482293592173862,0.17036090396854503,0.49865568823198314,6.274315340371886e-05,0.08926766173885975,0.0368062209063642,0.3378748544314952,0.0,0.0,19.36,0.1,0.0,0.0,0.0
5,2,HomeAudio,1165624.0,7.490628445424476,1988.2337375964719,1.9106945975744212,5.5799338478500555,32.634070467132354,1284.111356119074,190.0,0,54.59958809237524,1177.0,17.06177544266766,0.014482293592173798,0.17036090396854375,0.4986556882319763,6.274315340371781e-05,0.08926766173885907,0.03680622090636382,0.33787485443149967,0.0,0.0,0,0.026068128465912888,0.25554135595281624,0.7479835323479679,9.411473010557725e-05,0.14282825878217492,0.04048684299700024,0.4054498253177987,0.0,0.0,20.099999999999998,0.2833333333333333,4.416666666666667,0.0,0.0
8,3,HomeAudio,1441028.0,7.1832558139534886,2063.208372093023,1.7488372093023257,5.434418604651163,32.42673518727237,1337.0046511627907,209.0,1,54.59958809237487,1177.0,17.061775442667646,0.014482293592173796,0.17036090396854367,0.49865568823197687,6.274315340371824e-05,0.08926766173885903,0.03680622090636381,0.33787485443150045,0.0,0.0,1,0.03533679636490411,0.2981315819449518,0.8726474544059608,0.00010980051845650686,0.17496461700816396,0.040854905206063837,0.4189648194950602,0.0,0.0,23.183333333333334,0.0,1.4000000000000001,0.0,0.0
11,4,HomeAudio,1230725.0,7.18014329580348,1942.1535312180142,1.728761514841351,5.451381780962129,31.33562561548387,1255.9846468781986,170.0,0,54.59958809237507,1177.0,17.061775442667653,0.014482293592173796,0.17036090396854373,0.49865568823197537,6.274315340371777e-05,0.08926766173885906,0.03680622090636381,0.3378748544315,0.0,0.0,0,0.042751730684097086,0.3194266949410196,0.9349794154349558,0.00011764341263197119,0.19424643194375743,0.04089171142697019,0.42166781833051203,0.0,0.0,23.06,0.0,0.9,0.0,0.0
14,5,HomeAudio,916000.0,7.299435028248587,1990.4632768361582,1.7274011299435028,5.572033898305085,30.219718422019977,1291.957627118644,130.0,0,54.59958809237591,1177.0,17.061775442667685,0.0144822935921738,0.17036090396854392,0.49865568823198,6.274315340371794e-05,0.08926766173885915,0.03680622090636383,0.3378748544314984,0.0,0.0,0,0.04868367813945147,0.3300742514390537,0.9661453959494579,0.00012156485971970354,0.20581552090511362,0.04089539204906085,0.4222084180976008,0.0,0.0,24.566666666666663,0.0,4.633333333333334,0.0,0.0
17,6,HomeAudio,2599.0,9.0,3099.0,2.0,7.0,16.134236850596963,2599.0,1.0,0,59.987101024,1206.0,5.064306089216936,0.0004330004049783829,0.08595839313134927,0.07151566488571554,4.254043010213903e-07,0.008692479467151138,0.004955705312323768,0.1690503693541005,0.0,0.0,0,0.03937994291653956,0.2509955188508761,0.5545883628604444,6.120783416087316e-05,0.1321817920102193,0.009045244517229854,0.25349205297362065,0.0,0.0,21.65,0.0,0.27999999999999997,0.0,0.0
23,10,HomeAudio,479403.0,6.995535714285714,1653.919642857143,1.8303571428571428,5.165178571428571,33.92741757181884,1067.7075892857142,97.0,0,47.01288531005467,1101.703125,95.64373204921218,0.2591763757408517,0.09119957233492768,4.195060335671468,0.04077107459969381,1.0943371075435833,0.3366187640136999,0.41547177577717276,0.0,0.0,1,0.2906803300740834,0.21669733176036574,4.4723545171016905,0.04080167851677425,1.1736461827497149,0.3375232884654229,0.4661701863718969,0.0,0.0,24.46,0.0,10.1,0.0,0.0
26,11,HomeAudio,357437.0,6.620689655172414,1654.8996865203762,1.9843260188087775,4.636363636363637,30.96836331981649,1109.3291536050156,59.0,0,46.92541868726402,1101.0,96.25437986467276,0.2609207131026678,0.09123490612731114,4.222859513227307,0.04104593290887636,1.1016560600924146,0.338854694746519,0.41713304368563925,0.0,0.0,0,0.4934649771619345,0.199583572007494,6.459036771778152,0.06144677216726349,1.8058437697422436,0.3726070235930613,0.5103670809600186,0.0,0.0,19.240000000000002,1.28,0.96,0.0,0.0
29,12,HomeAudio,966148.0,7.3271889400921655,1690.5437788018432,1.9055299539170507,5.421658986175115,32.83319746585948,1106.0748847926268,189.0,0,46.92541868726402,1101.0,96.25437986467131,0.26092071310267134,0.09123490612731161,4.222859513227351,0.041045932908876454,1.1016560600924115,0.3388546947465207,0.4171330436856391,0.0,0.0,1,0.655692694832219,0.1910266921310586,7.452377899116427,0.0717693189925082,2.1851623219377574,0.3761153971058268,0.5192064598776428,0.0,0.0,20.55,0.0,0.55,0.0,0.0
32,13,HomeAudio,1223796.0,7.17008547008547,1574.9700854700855,1.8811965811965812,5.288888888888889,32.903970134807764,1042.6324786324785,227.0,0,46.92541868726402,1101.0,96.25437986466986,0.260920713102673,0.09123490612731168,4.222859513227357,0.04104593290887723,1.101656060092411,0.3388546947465268,0.41713304368563514,0.0,0.0,0,0.7854748689684483,0.18674825219284097,7.949048462785571,0.07693059240513134,2.4127534532550654,0.37646623445710947,0.5209743356611637,0.0,0.0,20.0,0.0,0.0,0.0,0.0
35,14,HomeAudio,1172485.0,7.2398452611218564,1744.298839458414,1.913926499032882,5.325918762088975,32.78099215466645,1131.3955512572534,214.0,0,45.47860861576044,1163.4061895551258,138.56572915110257,0.3481458280283102,0.5250468117247549,5.065568717663336,0.15016486435029558,1.4093914932469402,0.4133818207521513,1.4077063555322902,0.0,0.0,1,0.9765257232030689,0.6184209378211754,9.04009294905612,0.18863016055286125,2.8570435651999793,0.45102844419786225,1.511901222664523,0.0,0.0,17.725,1.925,3.72,0.0,0.0
38,15,HomeAudio,1004890.0,6.712137486573577,1681.2846401718582,2.021482277121375,4.690655209452202,33.43787783571103,1075.3984962406016,192.0,0,44.39838893399646,1210.0,170.15629736833753,0.413269984780224,0.8489401601607006,5.694753630434782,0.23163541789270636,1.6391534213792054,0.4690253844252787,2.1472898079583165,0.0,0.0,0,1.194490563342679,1.1581506290712884,10.214800104962842,0.325950498169137,3.353379560499193,0.5141282288450649,2.449670052491221,0.0,0.0,16.619999999999997,1.3800000000000001,0.0,0.0,0.0
41,16,HomeAudio,3568673.0,6.943453382699428,1838.509256142713,2.0669808145405586,4.876472568158869,34.357911846798146,1195.8744530461124,677.0,1,44.39838893399862,1210.0,170.15629736834384,0.41326998478022264,0.8489401601606829,5.694753630434599,0.2316354178927082,1.6391534213790737,0.46902538442530534,2.1472898079582774,0.0,0.0,1,1.368862435454366,1.428015474696327,10.802153682916021,0.3946106669772767,3.6511811576785895,0.5204382073098118,2.6372238184565218,0.0,0.0,14.3,4.1,0.3,0.0,0.0
44,17,HomeAudio,1323833.0,7.05832628909552,1706.7852916314455,2.084530853761623,4.973795435333897,34.52283319670371,1112.3989856297549,222.0,0,44.398388933995996,1210.0,170.1562973683395,0.413269984780228,0.8489401601607084,5.694753630434853,0.23163541789270778,1.6391534213792054,0.46902538442528025,2.147289807958304,0.0,0.0,0,1.5083599331437207,1.562947897508872,11.095830471892864,0.42894075138134613,3.8298621159863586,0.5210692051562614,2.6747345716496085,0.0,0.0,15.680000000000001,2.32,0.8400000000000001,0.0,0.0
47,18,HomeAudio,1575308.0,6.96807720861173,1767.7186340014848,1.9450631031922792,5.023014105419451,32.93463320429158,1163.987379361544,247.0,0,44.76342567599659,1213.227171492205,153.4676006022244,0.3951127363672122,0.7418602319394964,5.029452469371849,0.2007255990033281,1.5937603003466732,0.4654587820584318,1.8952791800417175,0.0,0.0,1,1.601800682882189,1.5233341806939324,10.57736770531828,0.41519597469400116,3.891677569938488,0.5175657025740579,2.430226094371639,0.0,0.0,10.9,7.1,0.9,0.0,0.0
50,19,HomeAudio,1205247.5,6.759740259740259,1627.725417439703,1.9833024118738405,4.776437847866419,30.756051208004948,1113.4531539888683,215.0,1,46.99999999999999,1233.0,51.216220416192094,0.28386356355096026,0.08578321140954379,0.95316281587484,0.011341629300141147,1.3156373683060891,0.44360626596954583,0.3512140629654407,0.0,0.0,0,1.5653041098567115,0.84745030175651,6.241846668533981,0.21893961664714173,3.6506439102691814,0.49536283622695165,0.8372592818397686,0.0,0.0,13.919999999999998,4.08,1.72,0.0,0.0
53,20,HomeAudio,1196277.1200024122,7.333333333333333,1666.0828571428572,1.8514285714285714,5.481904761904762,30.656298255003808,1133.8224380963868,222.0,1,46.99999999999999,1233.0,51.21622041619204,0.2838635635509608,0.08578321140954365,0.9531628158748399,0.011341629300141157,1.3156373683060871,0.4436062659695458,0.35121406296544116,0.0,0.0,1,1.53610685143633,0.5095083622877987,4.07408615014183,0.12081143762371202,3.506023714467596,0.49314254959224096,0.5186659193333949,0.0,0.0,8.833333333333334,9.166666666666666,5.133333333333333,0.0,0.0
56,21,HomeAudio,861101.0,6.629434954007884,1666.84494086728,2.055190538764783,4.574244415243101,31.920790443153404,1123.3206307490145,148.0,0,46.99999999999999,1233.0,51.21622041619125,0.2838635635509644,0.08578321140954173,0.9531628158748315,0.011341629300141329,1.315637368306058,0.44360626596954433,0.3512140629654471,0.0,0.0,0,1.5127490447000285,0.34053739255344107,2.9902058909457465,0.07174734811199734,3.4192515969866157,0.4929205209287684,0.45494724683212606,0.0,0.0,6.075,11.925,3.3,2.5,1.75
59,22,HomeAudio,1146037.0,7.249217935349322,1766.3003128258604,1.905109489051095,5.344108446298227,31.567144692376395,1185.84984358707,188.0,0,46.99999999999999,1233.0,51.216220416191845,0.28386356355096304,0.08578321140954318,0.9531628158748378,0.0113416293001412,1.3156373683060791,0.4436062659695454,0.35121406296544266,0.0,0.0,0,1.4940627993109858,0.25605190768626374,2.4482657613477112,0.047215303356139875,3.3671883264980487,0.49289831806242224,0.4422035123318679,0.0,0.0,7.8,10.2,5.8,0.0,0.0
62,23,HomeAudio,916252.0,6.883802816901408,1657.3908450704225,2.0481220657276995,4.835680751173709,34.19665915984169,1067.3415492957747,178.0,0,46.04084507042256,1077.137323943662,95.6003884624402,0.34712940985257784,0.1818959516584251,3.2396513097575164,0.059652173971079164,1.4738019840601153,0.45603348577878994,0.6715555651936116,0.0,0.0,1,1.5423796493013666,0.30992190550155696,4.463784190431372,0.0832598256491491,3.494114979958945,0.5053233175850321,0.7599962676599852,0.0,0.0,1.8,16.2,2.0,0.0,0.0
65,24,HomeAudio,1014544.0,7.117977528089888,1799.861797752809,1.9247191011235956,5.193258426966292,34.13794714211814,1131.9258426966292,168.0,0,45.80000000000015,1038.0,106.74531171634338,0.36301554747016646,0.2060299877561609,3.813791592362448,0.07178301558448649,1.5135173281040897,0.45915397709653155,0.751993739761918,0.0,0.0,0,1.5969192669112597,0.36099094050693936,6.045683687578134,0.11341292840906105,3.609986316079456,0.5096863088550347,0.903992993293915,0.0,0.0,8.525,9.475,0.15,0.0,0.0
68,25,HomeAudio,1020977.0,7.599777034559644,1703.8862876254182,1.9520624303232998,5.647714604236343,32.489711737693476,1136.7134894091416,165.0,0,45.800000000000175,1038.0,106.74531171634334,0.3630155474701666,0.20602998775616085,3.813791592362449,0.07178301558448649,1.5135173281040903,0.45915397709653166,0.7519937397619181,0.0,0.0,1,1.6405509609991744,0.38652545800963056,6.836633436151516,0.128489479789017,3.679509117751764,0.5101226079820351,0.9327923384207011,0.0,0.0,-0.1,18.1,2.3333333333333335,0.0,0.0
71,26,HomeAudio,919274.0,7.011015911872705,1680.3855569155446,1.9767441860465116,5.034271725826193,32.613895163018526,1116.3965728274175,161.0,1,45.79999999999991,1038.0,106.7453117163438,0.36301554747016496,0.20602998775616158,3.8137915923624366,0.07178301558448648,1.5135173281040823,0.45915397709653005,0.7519937397619171,0.0,0.0,0,1.6754563162695044,0.3992927167609769,7.2321083104381945,0.13602775547899498,3.7212227987551407,0.5101662378947336,0.9385522074460573,0.0,0.0,8.05,9.95,7.199999999999999,0.0,0.0
74,27,HomeAudio,1300364.0,7.133953488372093,1795.599069767442,1.8855813953488372,5.248372093023256,31.548008241973495,1207.1293023255814,202.0,1,46.42306067569079,1044.7460465116278,91.06108523349126,0.3300402244490622,0.12153037974325266,2.112190259713066,0.06636091642954663,1.526358861083308,0.47675359164336156,0.5257517444585964,0.08750189436614958,0.8779356734737034,1,1.670405277464666,0.3211767381237411,5.728244414932163,0.13437479416904413,3.7590925403363924,0.527770215432835,0.7134621859478079,0.08750189436614958,0.8779356734737034,2.3,15.7,0.0,0.0,0.0
77,28,HomeAudio,1207999.0,6.747378455672068,1688.540514775977,2.003813155386082,4.7435653002859866,31.6434168068834,1148.4795042897997,181.0,0,47.09303132503374,1052.0,74.19600000000088,0.294582203362661,0.03066883213090677,0.2824760854162488,0.060530589732053296,1.5401672276266434,0.4956782736946943,0.2824760854162488,0.18159176919616,1.8219707509347711,0,1.630906425334394,0.1912572011927773,3.1465982928823304,0.12771798681657537,3.7956227518284784,0.5484552952379778,0.4251685226058104,0.22534271637923478,1.9097643182821415,0.06666666666666672,17.933333333333334,7.866666666666667,2.3333333333333335,0.0
80,29,HomeAudio,983815.0,6.890776699029126,1763.1674757281553,1.9393203883495145,4.951456310679611,31.34094721690356,1190.4211165048544,172.0,0,47.09303132503325,1052.0,74.1960000000016,0.2945822033626598,0.030668832130906768,0.28247608541624875,0.060530589732053275,1.5401672276266483,0.4956782736946945,0.28247608541624875,0.18159176919615996,1.8219707509347838,1,1.599307343630175,0.12629743272729543,1.8557752318574139,0.12438958314034096,3.817540878723735,0.5505238032184923,0.36750978993741085,0.29426312738577737,2.012947182762998,-3.733333333333333,21.733333333333334,2.533333333333333,0.0,10.333333333333334
83,30,HomeAudio,1171921.0,7.122428991185113,1714.6082272282076,2.01077375122429,5.111655239960823,33.2655263311843,1140.6429970617041,216.0,1,47.09303132503369,1052.0,74.196000000001,0.2945822033626609,0.030668832130906768,0.2824760854162488,0.060530589732053296,1.5401672276266438,0.4956782736946943,0.2824760854162488,0.18159176919616,1.8219707509347725,0,1.574028078266801,0.09381754849455448,1.2103637013449557,0.12272538130222377,3.8306917548608848,0.5507306540165435,0.35597804340373096,0.32872333288904865,2.023265469211072,-5.533333333333333,41.53333333333333,0.0,0.0,0.0
86,31,HomeAudio,1080067.0,6.991498405951116,1688.4027630180658,1.9415515409139215,5.049946865037194,32.15035511123563,1144.4367693942613,169.0,0,47.093031325033536,1052.0,74.1960000000014,0.2945822033626605,0.030668832130906768,0.28247608541624875,0.06053058973205329,1.5401672276266454,0.49567827369469436,0.28247608541624875,0.18159176919615996,1.8219707509347765,0,1.5538046659761013,0.077577606378184,0.8876579360887267,0.12189328038316517,3.838582280543176,0.5507513390963488,0.35367169409699495,0.34595343564068426,2.0242972978558837,-1.8,19.8,0.0,0.0,0.0
